num_shots,invalid_fn_type,test_passing_completion,test_passing_explanation,valid_compl_in_primed_resp,valid_expl_in_primed_resp,invalid_compl_in_primed_resp,invalid_expl_in_primed_resp,n_examples
4,exclude_class,0.8026315789473685,0.3618421052631579,0.9013157894736842,0.09539473684210527,0.18092105263157895,0.01644736842105263,152
4,random,0.7894736842105263,0.4144736842105263,0.9046052631578947,0.125,0.17434210526315788,0.006578947368421052,152
4,same_class,0.7908496732026143,0.33986928104575165,0.8954248366013072,0.08823529411764706,0.1568627450980392,0.016339869281045753,153
6,exclude_class,0.8169934640522876,0.3790849673202614,0.9477124183006536,0.12091503267973856,0.10457516339869281,0.013071895424836602,153
6,random,0.8366013071895425,0.38562091503267976,0.9444444444444444,0.16993464052287582,0.16013071895424835,0.016339869281045753,153
6,same_class,0.8421052631578947,0.48026315789473684,0.9177631578947368,0.13486842105263158,0.3848684210526316,0.02631578947368421,152
8,exclude_class,0.8289473684210527,0.32894736842105265,0.9407894736842105,0.1875,0.17105263157894737,0.013157894736842105,152
8,random,0.8289473684210527,0.375,0.9078947368421053,0.14802631578947367,0.19736842105263158,0.009868421052631578,152
8,same_class,0.7777777777777778,0.477124183006536,0.9052287581699346,0.18627450980392157,0.4477124183006536,0.026143790849673203,153
10,exclude_class,0.8355263157894737,0.3815789473684211,0.9506578947368421,0.19736842105263158,0.16776315789473684,0.013157894736842105,152
10,random,0.8235294117647058,0.3137254901960784,0.9477124183006536,0.1503267973856209,0.21241830065359477,0.00980392156862745,153
10,same_class,0.8092105263157895,0.5526315789473685,0.9407894736842105,0.20723684210526316,0.41776315789473684,0.03618421052631579,152
